id,expense_date,category,amount
170,6/1/2022,Utilities,38.63
171,6/1/2022,Groceries,6.11
172,6/1/2022,Shopping,13.13
173,6/3/2022,Food & Dining,65.81
174,6/4/2022,Credit Card Payment,235.18
175,6/4/2022,Groceries,24.12
176,6/4/2022,Mortgage & Rent,1247.44
177,6/4/2022,Entertainment,11.76
178,6/6/2022,Food & Dining,4
179,6/8/2022,Utilities,30
180,6/9/2022,Food & Dining,16.18
181,6/9/2022,Groceries,9.56
182,6/9/2022,Entertainment,10.69
183,6/10/2022,Groceries,46.01
184,6/12/2022,Groceries,12.55
185,6/12/2022,Utilities,89.46
186,6/14/2022,Credit Card Payment,283.44
187,6/14/2022,Groceries,7.02
188,6/15/2022,Utilities,60
189,6/16/2022,Food & Dining,3
190,6/16/2022,Food & Dining,22.66
191,6/16/2022,Groceries,13.9
192,6/18/2022,Utilities,35
193,6/19/2022,Utilities,38.52
194,6/19/2022,Groceries,2.69
195,6/20/2022,Insurance,75
196,6/20/2022,Personal Care,30
197,6/21/2022,Credit Card Payment,89.45
198,6/23/2022,Food & Dining,8.5
199,6/23/2022,Shopping,74.97
200,6/25/2022,Credit Card Payment,942.76
201,6/25/2022,Utilities,74.99
202,6/26/2022,Groceries,9.62
203,6/27/2022,Food & Dining,3.5
204,6/27/2022,Food & Dining,22.66
205,6/28/2022,Groceries,7.57
206,7/1/2022,Shopping,13.13
207,7/2/2022,Mortgage & Rent,1247.44
208,7/2/2022,Entertainment,25
209,7/2/2022,Food & Dining,36.44
210,7/4/2022,Utilities,34.48
211,7/4/2022,Entertainment,11.76
212,7/5/2022,Groceries,44.25
213,7/5/2022,Shopping,212.32
214,7/6/2022,Entertainment,6.41
215,7/9/2022,Credit Card Payment,259.87
216,7/9/2022,Entertainment,10.69
217,7/10/2022,Credit Card Payment,242.16
218,7/10/2022,Groceries,5.39
219,7/10/2022,Utilities,30
220,7/11/2022,Utilities,89.46
221,7/14/2022,Utilities,33.51
222,7/15/2022,Utilities,36.24
223,7/17/2022,Food & Dining,15.23
224,7/17/2022,Utilities,35
225,7/17/2022,Utilities,60
226,7/18/2022,Entertainment,28.54
227,7/18/2022,Insurance,75
228,7/20/2022,Credit Card Payment,102.88
229,7/21/2022,Groceries,28.93
230,7/21/2022,Personal Care,30
231,7/23/2022,Credit Card Payment,61.43
232,7/23/2022,Food & Dining,9.58
233,7/24/2022,Food & Dining,26.59
234,7/25/2022,Utilities,74.99
235,7/26/2022,Utilities,33.67
236,7/28/2022,Groceries,7.61
237,7/30/2022,Food & Dining,34.38
238,7/31/2022,Entertainment,6.6
239,8/1/2022,Shopping,13.13
240,8/2/2022,Utilities,40.44
241,8/2/2022,Mortgage & Rent,1247.44
242,8/3/2022,Groceries,6.27
243,8/4/2022,Entertainment,11.76
244,8/6/2022,Shopping,76.47
245,8/9/2022,Entertainment,10.69
246,8/9/2022,Utilities,30
247,8/10/2022,Utilities,89.4
248,8/11/2022,Food & Dining,13.67
249,8/11/2022,Utilities,33.66
250,8/15/2022,Utilities,41.07
251,8/15/2022,Groceries,5.64
252,8/15/2022,Utilities,60
253,8/16/2022,Credit Card Payment,269.56
254,8/16/2022,Utilities,35
255,8/17/2022,Shopping,14.98
256,8/18/2022,Shopping,23.47
257,8/20/2022,Insurance,75
258,8/21/2022,Credit Card Payment,99.76
259,8/22/2022,Credit Card Payment,34.18
260,8/24/2022,Food & Dining,42.31
261,8/27/2022,Utilities,74.99
262,8/30/2022,Utilities,35.65
263,8/31/2022,Groceries,11.64
264,9/1/2022,Entertainment,47.4
265,9/1/2022,Shopping,13.13
266,9/2/2022,Shopping,109.83
267,9/4/2022,Credit Card Payment,687.29
268,9/4/2022,Mortgage & Rent,1247.44
269,9/4/2022,Entertainment,11.76
270,9/7/2022,Utilities,30
271,9/9/2022,Entertainment,18
272,9/9/2022,Entertainment,10.69
273,9/11/2022,Utilities,38.86
274,9/11/2022,Groceries,7.87
275,9/12/2022,Groceries,47.16
276,9/12/2022,Utilities,89.4
277,9/13/2022,Groceries,5.64
278,9/17/2022,Groceries,10.17
279,9/17/2022,Groceries,8.8
280,9/17/2022,Utilities,35
281,9/18/2022,Groceries,4.32
282,9/18/2022,Utilities,60
283,9/19/2022,Insurance,75
284,9/19/2022,Personal Care,30
285,9/20/2022,Shopping,47.38
286,9/22/2022,Home Improvement,69.4
287,9/22/2022,Home Improvement,6.83
288,9/25/2022,Utilities,74.99
289,9/25/2022,Food & Dining,48.64
290,9/26/2022,Food & Dining,5
291,9/26/2022,Utilities,38
292,9/27/2022,Utilities,40.71
293,9/28/2022,Credit Card Payment,284.96
294,9/28/2022,Groceries,13.36
295,9/29/2022,Food & Dining,23.26
296,9/29/2022,Food & Dining,46.7
297,10/1/2022,Food & Dining,3
298,10/1/2022,Credit Card Payment,128.12
299,10/1/2022,Groceries,15.66
300,10/1/2022,Shopping,13.13
301,10/2/2022,Credit Card Payment,124.03
302,10/2/2022,Mortgage & Rent,1209.18
303,10/4/2022,Entertainment,11.76
304,10/6/2022,Food & Dining,27
305,10/8/2022,Utilities,38.06
306,10/8/2022,Home Improvement,80.65
307,10/8/2022,Home Improvement,31.2
308,10/9/2022,Entertainment,10.69
309,10/9/2022,Shopping,19.98
310,10/9/2022,Utilities,30
311,10/10/2022,Groceries,53.68
312,10/11/2022,Utilities,89.4
313,10/16/2022,Utilities,60
314,10/17/2022,Utilities,35
315,10/18/2022,Insurance,75
316,10/18/2022,Groceries,33.55
317,10/18/2022,Home Improvement,45.24
318,10/18/2022,Food & Dining,8
319,10/22/2022,Credit Card Payment,353.83
320,10/22/2022,Utilities,34.66
321,10/23/2022,Groceries,7.57
322,10/25/2022,Utilities,74.99
323,10/25/2022,Shopping,29.98
324,10/27/2022,Food & Dining,25.4
325,10/28/2022,Entertainment,12.71
326,10/28/2022,Food & Dining,14.75
327,10/28/2022,Groceries,92.49
328,10/28/2022,Food & Dining,54
329,10/31/2022,Groceries,5.64
330,11/1/2022,Shopping,13.13
331,11/2/2022,Credit Card Payment,262.51
332,11/2/2022,Mortgage & Rent,1209.18
333,11/3/2022,Food & Dining,23.66
334,11/4/2022,Entertainment,11.76
335,11/5/2022,Utilities,36.51
336,11/6/2022,Shopping,53.95
337,11/6/2022,Utilities,30
338,11/8/2022,Groceries,5.64
339,11/9/2022,Entertainment,10.69
340,11/10/2022,Entertainment,27
341,11/10/2022,Food & Dining,14.19
342,11/10/2022,Groceries,24.4
343,11/12/2022,Groceries,10.18
344,11/12/2022,Food & Dining,22.33
345,11/13/2022,Groceries,4.8
346,11/13/2022,Groceries,37.43
347,11/13/2022,Groceries,10.15
348,11/13/2022,Utilities,89.54
349,11/14/2022,Utilities,60
350,11/16/2022,Utilities,35
351,11/17/2022,Entertainment,22.8
352,11/17/2022,Home Improvement,15.47
353,11/17/2022,Home Improvement,6.4
354,11/17/2022,Food & Dining,23.26
355,11/19/2022,Entertainment,20
356,11/19/2022,Utilities,29.15
357,11/19/2022,Home Improvement,10.02
358,11/20/2022,Insurance,75
359,11/21/2022,Groceries,5.64
360,11/21/2022,Home Improvement,37.41
361,11/26/2022,Entertainment,16.8
362,11/26/2022,Utilities,74.99
363,11/27/2022,Entertainment,17
364,11/27/2022,Food & Dining,28.4
365,11/30/2022,Credit Card Payment,582.99
366,11/30/2022,Groceries,6.27
367,12/1/2022,Groceries,5.64
368,12/1/2022,Food & Dining,8
369,12/1/2022,Shopping,13.13
370,12/3/2022,Utilities,30.03
371,12/3/2022,Groceries,148.15
372,12/3/2022,Mortgage & Rent,1209.18
373,12/4/2022,Food & Dining,3
374,12/4/2022,Food & Dining,20.65
375,12/4/2022,Entertainment,11.76
376,12/6/2022,Groceries,21.38
377,12/6/2022,Groceries,13.48
378,12/6/2022,Utilities,40
379,12/7/2022,Personal Care,30
380,12/8/2022,Groceries,12.64
381,12/9/2022,Entertainment,10.69
382,12/11/2022,Food & Dining,10.29
383,12/12/2022,Utilities,89.54
384,12/13/2022,Food & Dining,27
385,12/14/2022,Groceries,21.39
386,12/14/2022,Home Improvement,17.1
387,12/14/2022,Utilities,60
388,12/17/2022,Food & Dining,63
389,12/17/2022,Utilities,20.01
390,12/17/2022,Utilities,35
391,12/18/2022,Food & Dining,3
392,12/18/2022,Credit Card Payment,311.02
393,12/18/2022,Food & Dining,56.52
394,12/18/2022,Shopping,49.99
395,12/18/2022,Shopping,41.72
396,12/18/2022,Shopping,24.3
397,12/19/2022,Insurance,75
398,12/19/2022,Shopping,43.01
399,12/20/2022,Utilities,30.38
400,12/21/2022,Credit Card Payment,464.03
401,12/22/2022,Food & Dining,21.38
402,12/22/2022,Home Improvement,22.14
403,12/23/2022,Home Improvement,28
404,12/24/2022,Home Improvement,38.4
405,12/26/2022,Food & Dining,56.07
406,12/26/2022,Utilities,32.47
407,12/26/2022,Utilities,7.48
408,12/26/2022,Utilities,75.99
409,12/26/2022,Shopping,44.99
410,12/28/2022,Entertainment,12
411,12/29/2022,Entertainment,14
412,12/29/2022,Groceries,55.04
